Files,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29, Class
Hunger-12,1115.339233038348, 1115.1917404129792, 1115.4867256637167, 1115.6342182890855, 1115.0442477876106, 1095.132743362832, 1094.985250737463, 1115.7817109144542, 1775.2212389380531, 1302.9498525073745, 1775.3687315634218, 1776.1061946902655, 1114.8967551622418, 1095.2802359882005, 992.4778761061947, 992.6253687315634, 1122.2713864306784, 1105.457227138643, 1115.929203539823, 1775.9587020648967, 1299.7050147492625, 1089.2330383480826, 1303.0973451327434, 1089.3805309734514, 1300.2949852507375, 993.0678466076696, 1299.5575221238937, 1095.4277286135693, 1299.8525073746312, 1775.811209439528,0
Hunger-13,1379.203539823009, 1383.0383480825958, 1379.3510324483775, 1383.1858407079646, 1380.3834808259587, 1382.0058997050148, 1379.05604719764, 1381.858407079646, 1385.6932153392331, 1382.8908554572272, 1382.7433628318583, 1381.7109144542774, 1378.9085545722714, 1379.646017699115, 1380.5309734513273, 1371.2389380530974, 1389.52802359882, 1385.8407079646017, 1385.3982300884957, 1371.0914454277286, 1382.5958702064897, 1380.2359882005899, 1370.0589970501476, 1382.1533923303834, 1379.4985250737464, 1384.513274336283, 1376.6961651917404, 1381.5634218289085, 1380.0884955752213, 1273.1563421828907,0
Hunger-14,1163.716814159292, 1162.5368731563422, 1163.274336283186, 1162.094395280236, 1163.8643067846608, 1163.126843657817, 1165.0442477876106, 1161.9469026548672, 1165.6342182890855, 1160.1769911504425, 1161.2094395280235, 1160.7669616519174, 1162.684365781711, 1161.7994100294984, 1161.3569321533923, 1160.6194690265486, 1160.0294985250737, 1165.7817109144542, 1165.1917404129792, 1161.6519174041298, 1164.4542772861357, 1163.5693215339234, 1164.3067846607669, 1162.2418879056047, 1164.8967551622418, 1164.6017699115043, 1162.3893805309735, 1159.5870206489676, 1164.0117994100294, 1165.4867256637167,0
Hunger-15,1064.0117994100294, 1063.8643067846608, 1063.716814159292, 1064.1592920353983, 1066.2241887905604, 1066.3716814159293, 1066.519174041298, 1063.5693215339234, 1064.3067846607669, 1066.0766961651918, 1061.6519174041298, 1061.504424778761, 1061.7994100294984, 1065.929203539823, 1066.6666666666667, 1061.9469026548672, 1061.3569321533923, 1063.4218289085545, 1064.4542772861357, 1061.2094395280235, 1062.094395280236, 1065.7817109144542, 1066.8141592920354, 1063.274336283186, 1075.9587020648967, 1076.1061946902655, 1064.6017699115043, 1075.811209439528, 1074.3362831858408, 1068.2890855457226,0
Hunger-16,1020.0589970501475, 1019.9115044247787, 1020.2064896755162, 1019.76401179941, 1020.3539823008849, 1019.6165191740413, 1020.5014749262536, 1017.551622418879, 1019.4690265486726, 1015.7817109144543, 1015.929203539823, 1017.6991150442477, 1016.0766961651917, 1017.8466076696166, 1017.4041297935103, 1015.6342182890855, 1020.6489675516224, 1015.4867256637168, 1014.7492625368732, 1016.2241887905604, 1015.0442477876106, 1014.8967551622419, 1017.2566371681415, 1017.9941002949853, 1030.2359882005899, 1011.5044247787611, 1015.3392330383481, 1030.0884955752213, 1030.3834808259587, 1029.9410029498524,0
Hunger-17,858.9939024390244, 858.8414634146342, 859.1463414634146, 859.451219512195, 858.6890243902438, 876.0670731707316, 859.6036585365854, 859.2987804878048, 860.9756097560976, 876.9817073170732, 875.9146341463414, 862.6524390243902, 876.8292682926829, 862.3475609756098, 862.5, 859.7560975609756, 880.030487804878, 860.8231707317073, 861.1280487804878, 896.951219512195, 862.1951219512194, 861.280487804878, 877.1341463414634, 858.5365853658536, 862.0426829268292, 880.1829268292682, 853.3536585365854, 898.4756097560976, 861.890243902439, 898.3231707317073,0
Hunger-18,1262.874251497006, 1261.5269461077846, 1259.5808383233534, 624.2514970059881, 1268.8622754491018, 623.502994011976, 1297.005988023952, 613.0239520958085, 1245.5089820359283, 1268.2634730538923, 623.3532934131737, 1291.1676646706587, 1288.922155688623, 1299.251497005988, 633.682634730539, 1244.1616766467066, 1266.7664670658685, 1273.2035928143714, 690.7185628742516, 625.1497005988025, 1289.0718562874254, 1241.616766467066, 624.8502994011976, 1392.5149700598804, 1271.4071856287426, 2750.748502994012, 1267.2155688622756, 1292.5149700598804, 1244.311377245509, 1290.4191616766468,0
Hunger-19,119.683908045977, 121.12068965517241, 119.54022988505747, 101.58045977011494, 121.26436781609195, 155.31609195402297, 101.43678160919539, 125.71839080459769, 162.06896551724137, 103.44827586206895, 122.5574712643678, 119.82758620689654, 127.58620689655172, 117.81609195402298, 144.54022988505747, 130.89080459770113, 101.00574712643677, 145.1149425287356, 151.1494252873563, 132.04022988505747, 121.40804597701148, 108.04597701149424, 120.97701149425286, 119.10919540229884, 125.86206896551724, 103.30459770114942, 161.92528735632183, 144.97126436781608, 102.8735632183908, 143.9655172413793,0
Hunger-20,119.54022988505747, 802.4425287356321, 817.5287356321838, 817.6724137931034, 817.3850574712643, 802.7298850574712, 816.235632183908, 817.8160919540229, 773.8505747126436, 773.9942528735631, 802.5862068965516, 773.7068965517241, 1103.735632183908, 817.9597701149424, 816.5229885057471, 817.2413793103448, 816.6666666666666, 1104.5977011494251, 816.9540229885057, 802.8735632183907, 1103.0172413793102, 1105.316091954023, 815.948275862069, 810.3448275862069, 774.1379310344827, 800.1436781609195, 1102.8735632183907, 802.2988505747126, 816.0919540229885, 1102.2988505747126,0
Hunger-21,169.24157303370788, 166.9943820224719, 169.66292134831463, 170.64606741573036, 167.97752808988764, 166.01123595505618, 154.21348314606743, 168.96067415730337, 165.4494382022472, 154.91573033707866, 169.38202247191012, 167.55617977528092, 163.623595505618, 168.1179775280899, 153.93258426966293, 337.78089887640454, 167.13483146067418, 170.92696629213484, 159.97191011235955, 156.74157303370788, 167.8370786516854, 163.20224719101125, 153.2303370786517, 170.36516853932585, 154.0730337078652, 165.87078651685394, 310.9550561797753, 156.88202247191012, 168.3988764044944, 169.9438202247191,0
